[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[N06DA04, galantamine, The metabolism of Galantamine can be increased when combined with Carbamazepine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Gallamine.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be increased when combined with Carbamazepine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AA04, barbexaclone, Carbamazepine may increase the Change in thyroid function activities of Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be increased when combined with Carbamazepine.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Carbamazepine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Carbamazepine.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be decreased when it is combined with Carbamazepine.]
[J05AG04, etravirine, The metabolism of Carbamazepine can be increased when combined with Etravirine.]
[N03AD03, methsuximide, Carbamazepine may increase the Change in thyroid function activities of Methsuximide.]
[G03XA02, gestrinone, The serum concentration of Gestrinone can be decreased when it is combined with Carbamazepine.]
[N01AH02, alfentanil, The metabolism of Carbamazepine can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Carbamazepine.]
[A10BB01, glyburide, The metabolism of Carbamazepine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Carbamazepine.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Glutethimide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Carbamazepine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Carbamazepine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Carbamazepine.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Carbamazepine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Carbamazepine can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Carbamazepine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be increased when combined with Carbamazepine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Halothane.]
[N05AH04, quetiapine, The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Quetiapine.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Carbamazepine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Allobarbital.]
[M04AA01, allopurinol, The risk or severity of Stevens-Johnson syndrome can be increased when Allopurinol is combined with Carbamazepine.]
[C09CA01, losartan, The metabolism of Carbamazepine can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Carbamazepine.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Carbamazepine.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Carbamazepine.]
[N05CA16, hexobarbital, Carbamazepine may increase the Change in thyroid function activities of Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Carbamazepine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Carbamazepine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be increased when combined with Carbamazepine.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Carbamazepine can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Carbamazepine.]
[R05DA03, hydrocodone, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Carbamazepine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Carbamazepine.]
[B05XA17, potassium acetate, Potassium acetate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01XA07, aluminum potassium sulfate, Potassium alum can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be increased when combined with Carbamazepine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Prothipendyl.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be increased when combined with Carbamazepine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[J04AB04, rifabutin, The metabolism of Carbamazepine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Carbamazepine.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Carbamazepine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Carbamazepine.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be increased when combined with Carbamazepine.]
[N06AA02, imipramine, The metabolism of Imipramine can be increased when combined with Carbamazepine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Carbamazepine.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tixocortol.]
[M03BX02, tizanidine, Carbamazepine may increase the Change in thyroid function activities of Tizanidine.]
[L01CE01, topotecan, Carbamazepine may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The risk or severity of adverse effects can be increased when Indapamide is combined with Carbamazepine.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Carbamazepine.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
