[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Mometasone furoate.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Mometasone furoate.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Mometasone furoate.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Mometasone furoate.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Mometasone furoate.]
[M03AC03, vecuronium, The risk or severity of myopathy and weakness can be increased when Vecuronium is combined with Mometasone furoate.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Mometasone furoate.]
[N03AB05, fosphenytoin, The serum concentration of Mometasone furoate can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Mometasone furoate.]
[V03AB15, naloxone, The metabolism of Mometasone furoate can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Mometasone furoate.]
[S01XA11, nandrolone, The risk or severity of edema formation can be increased when Nandrolone phenpropionate is combined with Mometasone furoate.]
[M02AA12, naproxen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Troglitazone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Mometasone furoate.]
[A10BX02, repaglinide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Repaglinide.]
[S01EB06, neostigmine, The therapeutic efficacy of Neostigmine can be decreased when used in combination with Mometasone furoate.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Mometasone furoate.]
[J02AA01, amphotericin B, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, The metabolism of Mometasone furoate can be decreased when combined with Desvenlafaxine.]
[H05BX02, paricalcitol, The therapeutic efficacy of Paricalcitol can be decreased when used in combination with Mometasone furoate.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Mometasone furoate.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Mometasone furoate.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Mometasone furoate.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Mometasone furoate.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Mometasone furoate.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Mometasone furoate.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Norepinephrine.]
[G03DC02, norethindrone, The serum concentration of Mometasone furoate can be increased when it is combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Norfloxacin.]
[G03AC07, norgestrienone, The serum concentration of Mometasone furoate can be increased when it is combined with Norgestrienone.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Mometasone furoate.]
[S02AA16, ofloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Mometasone furoate.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Mometasone furoate.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Orciprenaline.]
[A14AA08, oxandrolone, The risk or severity of fluid retention can be increased when Mometasone furoate is combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Oxolinic acid.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Mometasone furoate.]
[A14AA05, oxymetholone, The risk or severity of fluid retention can be increased when Mometasone furoate is combined with Oxymetholone.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Oxyphenbutazone.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Mometasone furoate.]
[G03DB06, chlormadinone, The serum concentration of Mometasone furoate can be increased when it is combined with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Mometasone furoate.]
[J01MA03, pefloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Pefloxacin.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Mometasone furoate.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mometasone furoate.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Mometasone furoate.]
[N05CA01, pentobarbital, The metabolism of Mometasone furoate can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Mometasone furoate.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Mometasone furoate.]
[A10BA01, phenformin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Phenformin.]
[B01AA02, phenindione, Mometasone furoate may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Mometasone furoate can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, Mometasone furoate may increase the anticoagulant activities of Phenprocoumon.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Mometasone furoate is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Mometasone furoate can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Mometasone furoate.]
[S01AE05, levofloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Physostigmine can be decreased when used in combination with Mometasone furoate.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Mometasone furoate.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Mometasone furoate.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Mometasone furoate.]
[J05AE01, saquinavir, The metabolism of Mometasone furoate can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Mometasone furoate can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Mometasone furoate.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Mometasone furoate.]
[A10BG02, rosiglitazone, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Mometasone furoate.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Mometasone furoate.]
[C03AA05, polythiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Mometasone furoate can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Saxagliptin.]
