[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[N05CD05, triazolam, Acetaminophen may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Acetaminophen may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Acetaminophen.]
[S01AD02, trifluridine, Acetaminophen may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Acetaminophen may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, Trimethadione may increase the hepatotoxic activities of Acetaminophen.]
[J01EA01, trimethoprim, Acetaminophen may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Acetaminophen.]
[R06AC04, tripelennamine, The metabolism of Acetaminophen can be decreased when combined with Tripelennamine.]
[J01FA08, troleandomycin, The metabolism of Acetaminophen can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Acetaminophen can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Acetaminophen.]
[L01FX04, ipilimumab, Acetaminophen may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Acetaminophen.]
[R02AA14, oxyquinoline, Acetaminophen may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Acetaminophen can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Acetaminophen can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Acetaminophen can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Acetaminophen can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Acetaminophen.]
[S01AA28, vancomycin, Acetaminophen may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Acetaminophen may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Acetaminophen may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Acetaminophen can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Acetaminophen can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Acetaminophen.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Acetaminophen.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Acetaminophen.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Acetaminophen.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Acetaminophen.]
[J05AE02, indinavir, The metabolism of Acetaminophen can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Acetaminophen can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Acetaminophen.]
[M05BA05, tiludronic acid, Acetaminophen may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Acetaminophen may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Acetaminophen.]
[A02BC04, rabeprazole, Acetaminophen may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The metabolism of Acetaminophen can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Acetaminophen can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Acetaminophen may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Acetaminophen.]
[G04BD07, tolterodine, Acetaminophen may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Acetaminophen may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Acetaminophen.]
[L03AB11, peginterferon alfa-2a, The metabolism of Acetaminophen can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Acetaminophen can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Acetaminophen may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Acetaminophen.]
[B03XA04, peginesatide, Acetaminophen may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Acetaminophen may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Acetaminophen.]
[L01BC05, gemcitabine, Acetaminophen may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Acetaminophen may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Acetaminophen.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Acetaminophen can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Acetaminophen can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Acetaminophen can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Acetaminophen can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Acetaminophen can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Acetaminophen.]
[L04AA31, teriflunomide, The serum concentration of Acetaminophen can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Acetaminophen resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Acetaminophen resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Acetaminophen.]
[N05CA04, barbital, The metabolism of Acetaminophen can be increased when combined with Barbital.]
[D02BA02, octinoxate, Acetaminophen may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Acetaminophen can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Acetaminophen.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Acetaminophen.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Acetaminophen.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Acetaminophen.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Acetaminophen.]
[N02CC03, zolmitriptan, The metabolism of Acetaminophen can be decreased when combined with Zolmitriptan.]
[G04BD10, darifenacin, The metabolism of Acetaminophen can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Acetaminophen may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The serum concentration of Acetaminophen can be increased when it is combined with Cabozantinib.]
[G04BE03, sildenafil, Sildenafil may increase the hepatotoxic activities of Acetaminophen.]
[V08CA11, gadofosveset, Acetaminophen may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Acetaminophen.]
[A16AX08, teduglutide, Acetaminophen may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Acetaminophen.]
[C10AX11, mipomersen, Acetaminophen may increase the hepatotoxic activities of Mipomersen.]
