[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Valproic acid.]
[L01EX23, pralsetinib, The metabolism of Valproic acid can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Valproic acid.]
[N05AA01, chlorpromazine, The serum concentration of Valproic acid can be increased when it is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Valproic acid.]
[N05AF03, chlorprothixene, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Chlorzoxazone.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Etifoxine.]
[N02BA07, ethenzamide, The protein binding of Valproic acid can be decreased when combined with Ethenzamide.]
[N02BA03, choline salicylate, The serum concentration of Valproic acid can be increased when it is combined with Choline salicylate.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Valproic acid.]
[M01AB08, etodolac, The protein binding of Valproic acid can be decreased when combined with Etodolac.]
[M02AA06, etofenamate, The protein binding of Valproic acid can be decreased when combined with Etofenamate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Berotralstat is combined with Valproic acid.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Valproic acid.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Valproic acid.]
[J05AJ04, cabotegravir, The excretion of Valproic acid can be decreased when combined with Cabotegravir.]
[P03AX07, abametapir, The serum concentration of Valproic acid can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Valproic acid can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Febarbamate.]
[N03AX10, felbamate, The serum concentration of Valproic acid can be increased when it is combined with Felbamate.]
[M01AE05, fenbufen, The protein binding of Valproic acid can be decreased when combined with Fenbufen.]
[N06BA10, fenethylline, Valproic acid may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Valproic acid.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Valproic acid.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Valproic acid.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Valproic acid.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Valproic acid.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Valproic acid is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Valproic acid can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The excretion of Valproic acid can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Valproic acid.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Valproic acid.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Valproic acid.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Valproic acid.]
[L01XA01, cisplatin, The metabolism of Valproic acid can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Valproic acid can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Valproic acid.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Valproic acid.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Valproic acid.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Valproic acid.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Valproic acid.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Valproic acid is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Valproic acid can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Valproic acid.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Valproic acid.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Valproic acid.]
[C10AB01, clofibrate, The metabolism of Valproic acid can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Valproic acid can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Valproic acid.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Valproic acid.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Valproic acid.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Valproic acid.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Valproic acid.]
[A02BC08, vonoprazan, The metabolism of Valproic acid can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Valproic acid.]
[M02AA08, felbinac, The protein binding of Valproic acid can be decreased when combined with Felbinac.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Valproic acid.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Valproic acid.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Halazepam.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Cocaine.]
[M09AX11, palovarotene, Valproic acid may increase the Pseudotumor Cerebri activities of Palovarotene.]
[C02KB01, metyrosine, Valproic acid may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Valproic acid can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The protein binding of Valproic acid can be decreased when combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Valproic acid is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Valproic acid.]
[A03AB10, hexocyclium, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Valproic acid.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Valproic acid.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Valproic acid is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Valproic acid.]
[N02BA16, imidazole-2-hydroxybenzoate, The protein binding of Valproic acid can be decreased when combined with Imidazole salicylate.]
