[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[L01EX12, larotrectinib, The serum concentration of Dasatinib can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Dasatinib can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Dasatinib can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Dasatinib.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Cibenzoline.]
[B01AX07, caplacizumab, Dasatinib may increase the anticoagulant activities of Caplacizumab.]
[B01AC23, cilostazol, Dasatinib may increase the anticoagulant activities of Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Dasatinib can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Dasatinib can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Dasatinib.]
[J01FA09, clarithromycin, The metabolism of Dasatinib can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Dasatinib can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Dasatinib can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Dasatinib can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Dasatinib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Dasatinib can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Dasatinib.]
[L02BB06, darolutamide, The serum concentration of Dasatinib can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Dasatinib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Dasatinib can be decreased when combined with Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Dasatinib can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Dasatinib can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Dasatinib can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Dasatinib.]
[N04CX01, istradefylline, The serum concentration of Dasatinib can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Dasatinib.]
[A10AE03, insulin, regular, pork, The metabolism of Dasatinib can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Dasatinib can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Dasatinib can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Dasatinib can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Dasatinib can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Dasatinib.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Dasatinib.]
[N02CC08, lasmiditan, The serum concentration of Dasatinib can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Dasatinib is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Dasatinib.]
[B06AX03, voxelotor, The serum concentration of Dasatinib can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Dasatinib can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Dasatinib can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Dasatinib.]
[L01FX13, enfortumab vedotin, The serum concentration of Dasatinib can be increased when it is combined with Enfortumab vedotin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Dasatinib.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Dexchlorpheniramine.]
[N05CM21, lemborexant, The metabolism of Dasatinib can be decreased when combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Dasatinib can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Dasatinib can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Dasatinib.]
[J05AB16, remdesivir, The metabolism of Dasatinib can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The metabolism of Dasatinib can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Dasatinib can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Dasatinib can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Dasatinib can be decreased when combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dasatinib can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, Dasatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The metabolism of Dasatinib can be decreased when combined with Selumetinib.]
[M01AH02, rofecoxib, The metabolism of Dasatinib can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Dasatinib can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Dasatinib can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Dasatinib can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Dasatinib can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Dasatinib.]
[S03AA08, chloramphenicol, The metabolism of Dasatinib can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Chlorcyclizine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Dasatinib can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Dasatinib can be increased when combined with Fluprednidene.]
[L01EX19, ripretinib, The serum concentration of Dasatinib can be increased when it is combined with Ripretinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Lepirudin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Dasatinib is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Dasatinib is combined with Stepronin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Dasatinib.]
[R06AX22, ebastine, The metabolism of Dasatinib can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, Dasatinib may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[L01FX15, belantamab mafodotin, The serum concentration of Dasatinib can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Dasatinib can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Dasatinib can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Dasatinib can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Dasatinib.]
[R06AB04, chlorpheniramine, The metabolism of Dasatinib can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Dasatinib can be increased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Dasatinib.]
[M03BB03, chlorzoxazone, The metabolism of Dasatinib can be decreased when combined with Chlorzoxazone.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Dasatinib.]
[A16AX20, lonafarnib, The metabolism of Dasatinib can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Dasatinib.]
[L02BX04, relugolix, The metabolism of Dasatinib can be decreased when combined with Relugolix.]
[L04AD03, voclosporin, The serum concentration of Dasatinib can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Dasatinib can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Dasatinib can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Dasatinib can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The metabolism of Dasatinib can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Dasatinib can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Dasatinib.]
