[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[B03BA01, vitamin B12, Tenofovir disoproxil may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, Tenofovir disoproxil may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Tenofovir disoproxil can be decreased when combined with Zidovudine.]
[L01EC01, vemurafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Tenofovir disoproxil.]
[M05BA05, tiludronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Tiludronic acid.]
[B06AC02, icatibant, Tenofovir disoproxil may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Tenofovir disoproxil may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Ibandronate.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Tenofovir disoproxil may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EJ01, ruxolitinib, Tenofovir disoproxil may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Tenofovir disoproxil may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Tenofovir disoproxil may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Tenofovir disoproxil may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Tenofovir disoproxil.]
[R07AX02, ivacaftor, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Tenofovir disoproxil may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Tenofovir disoproxil may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Tenofovir disoproxil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Tenofovir disoproxil.]
[J01DF01, aztreonam, Tenofovir disoproxil may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tenofovir disoproxil.]
[M03BX01, baclofen, Tenofovir disoproxil may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Tenofovir disoproxil.]
[A08AA11, lorcaserin, Tenofovir disoproxil may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Carfilzomib.]
[L02BB04, enzalutamide, Tenofovir disoproxil may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Tenofovir disoproxil.]
[L04AA31, teriflunomide, The excretion of Tenofovir disoproxil can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Regorafenib.]
[D02BA02, octinoxate, Tenofovir disoproxil may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Tenofovir disoproxil.]
[N04BD02, rasagiline, Tenofovir disoproxil may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Tenofovir disoproxil may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Tenofovir disoproxil may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Tenofovir disoproxil.]
[A16AX08, teduglutide, Tenofovir disoproxil may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, Tenofovir disoproxil may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Tenofovir disoproxil may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Tenofovir disoproxil.]
[N02BA10, benorilate, Benorilate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A10BK02, canagliflozin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Canagliflozin.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Tenofovir disoproxil.]
[J02AX04, caspofungin, The excretion of Tenofovir disoproxil can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Tenofovir disoproxil may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L04AA18, everolimus, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Tenofovir disoproxil may decrease the excretion rate of Benzatropine which could result in a higher serum level.]
[L01EC02, dabrafenib, The excretion of Tenofovir disoproxil can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EE01, trametinib, Tenofovir disoproxil may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Tenofovir disoproxil may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, Tenofovir disoproxil may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Tenofovir disoproxil.]
[A10BJ03, lixisenatide, Tenofovir disoproxil may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The excretion of Tenofovir disoproxil can be decreased when combined with Cholic Acid.]
[C02KX04, macitentan, Tenofovir disoproxil may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Tenofovir disoproxil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Tenofovir disoproxil may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP05, simeprevir, The serum concentration of Simeprevir can be decreased when it is combined with Tenofovir disoproxil.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Tenofovir disoproxil.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Tenofovir disoproxil may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Tenofovir disoproxil may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Tenofovir disoproxil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Tenofovir disoproxil may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Tenofovir disoproxil may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Tenofovir disoproxil.]
[B01AC26, vorapaxar, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vorapaxar.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Tenofovir disoproxil.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Tenofovir disoproxil.]
[N07XX08, tafamidis, The excretion of Tenofovir disoproxil can be decreased when combined with Tafamidis.]
[V08AA01, diatrizoic acid, Tenofovir disoproxil may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Tenofovir disoproxil may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
