[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Dantrolene.]
[C02CC04, debrisoquin, Perindopril may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Perindopril.]
[M01AX01, nabumetone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Nabumetone is combined with Perindopril.]
[N07BB05, nalmefene, Perindopril may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, The risk or severity of hyperkalemia can be increased when Potassium lactate is combined with Perindopril.]
[C07AB12, nebivolol, Perindopril may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may decrease the antihypertensive activities of Perindopril.]
[C01DX16, nicorandil, Nicorandil may increase the vasodilatory activities of Perindopril.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Perindopril.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Perindopril.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Perindopril.]
[A07EC03, olsalazine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Perindopril.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Perindopril.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Perindopril.]
[V04CH02, indigo carmine, Perindopril may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C09XA02, aliskiren, The risk or severity of hypotension, hyperkalemia, and nephrotoxicity can be increased when Aliskiren is combined with Perindopril.]
[M01AE12, oxaprozin, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Oxaprozin is combined with Perindopril.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Perindopril.]
[P03AC04, permethrin, Perindopril may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Perindopril may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Perindopril.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Perindopril.]
[R05DA08, pholcodine, Perindopril may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diclofenac is combined with Perindopril.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A03AA07, dicyclomine, Perindopril may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Perindopril may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Perindopril may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Perindopril is combined with Pipamperone.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Perindopril.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Perindopril.]
[C08CA03, isradipine, Isradipine may increase the hypotensive activities of Perindopril.]
[D07XC04, diflucortolone, Perindopril may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Perindopril.]
[C01AA05, digoxin, Perindopril may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Perindopril may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Perindopril.]
[N02CA01, dihydroergotamine, Dihydroergotamine may decrease the antihypertensive activities of Perindopril.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Perindopril.]
[H03BC01, potassium perchlorate, The risk or severity of hyperkalemia can be increased when Potassium perchlorate is combined with Perindopril.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C08DB01, diltiazem, Diltiazem may increase the hypotensive activities of Perindopril.]
[V03AB09, dimercaprol, Perindopril may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Perindopril.]
[M02AX03, dimethyl sulfoxide, Perindopril may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Propyphenazone is combined with Perindopril.]
[M01AB14, proglumetacin, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Proglumetacin is combined with Perindopril.]
[C09AA06, quinapril, The risk or severity of angioedema can be increased when Perindopril is combined with Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Perindopril.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Perindopril.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Perindopril.]
[C09AA05, ramipril, The risk or severity of angioedema can be increased when Ramipril is combined with Perindopril.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Perindopril.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Perindopril.]
[S01AX06, resorcinol, Perindopril may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AX08, risperidone, Perindopril may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Perindopril may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Perindopril.]
[C03XA01, tolvaptan, Tolvaptan may increase the hyperkalemic activities of Perindopril.]
[G04BE08, tadalafil, Perindopril may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Ketorolac is combined with Perindopril.]
[C02KX02, ambrisentan, Perindopril may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Salsalate is combined with Perindopril.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Perindopril.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Perindopril.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Perindopril.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Perindopril.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Perindopril.]
[N06AA12, doxepin, Doxepin may decrease the antihypertensive activities of Perindopril.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Perindopril.]
