[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[L01EX02, sorafenib, The metabolism of Doxepin can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the orthostatic hypotensive activities of Doxepin.]
[M01CB04, aurothioglucose, Doxepin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Doxepin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Doxepin is combined with Fluindione.]
[C09AA09, fosinopril, Doxepin may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Doxepin may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Doxepin can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Doxepin can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Histrelin.]
[N05AH04, quetiapine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N06BX13, idebenone, Doxepin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, Doxepin may decrease the hypoglycemic activities of Insulin aspart.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Doxepin.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Doxepin.]
[G03DC01, allylestrenol, Doxepin may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The therapeutic efficacy of Mesalazine can be decreased when used in combination with Doxepin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Doxepin.]
[L01XX03, altretamine, The risk or severity of orthostatic hypotension can be increased when Altretamine is combined with Doxepin.]
[N05CA16, hexobarbital, The metabolism of Doxepin can be increased when combined with Hexobarbital.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Doxepin.]
[J05AG01, nevirapine, The metabolism of Doxepin can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Doxepin is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Oxatomide.]
[C09AA04, perindopril, Doxepin may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Doxepin may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Doxepin.]
[R05DA03, hydrocodone, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Doxepin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[G04BD06, propiverine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[B05AA07, hetastarch, Doxepin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Doxepin can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Doxepin.]
[M05BA07, risedronic acid, Doxepin can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Ibuprofen.]
[B05XA08, sodium acetate, Doxepin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, Doxepin may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Doxepin.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Doxepin.]
[L01AA06, ifosfamide, Doxepin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AC02, somatrem, The metabolism of Doxepin can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Doxepin is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[L01CD01, paclitaxel, Doxepin may increase the neurotoxic activities of Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Terlipressin.]
[R01AD07, tixocortol, Doxepin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Doxepin.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Doxepin.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Indomethacin.]
[C02CA02, indoramin, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[A11HA07, inositol, Doxepin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Doxepin can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Doxepin can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Doxepin is combined with Milnacipran.]
[A03AA30, piperidolate, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Doxepin may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BH01, sitagliptin, Doxepin may decrease the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AE01, buclizine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Doxepin may decrease the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Doxepin can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the orthostatic hypotensive activities of Doxepin.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Doxepin can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Doxepin may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Doxepin.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic activities of Doxepin.]
[J05AB13, penciclovir, The metabolism of Doxepin can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The serum concentration of Doxepin can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic activities of Doxepin.]
[P01AX06, atovaquone, The metabolism of Doxepin can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Doxepin.]
[C09AA16, imidapril, Doxepin may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01EB07, isoflurophate, The therapeutic efficacy of Doxepin can be decreased when used in combination with Isoflurophate.]
