[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[N03AB02, phenytoin, The metabolism of Nevirapine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Nevirapine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Nevirapine can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Nevirapine can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Nevirapine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Nevirapine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Nevirapine.]
[J05AE01, saquinavir, The serum concentration of Saquinavir can be decreased when it is combined with Nevirapine.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Nevirapine.]
[N05AC04, pipothiazine, The metabolism of Nevirapine can be decreased when combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Nevirapine.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Nevirapine.]
[J05AG02, delavirdine, The metabolism of Nevirapine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Nevirapine.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Nevirapine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Nevirapine.]
[L04AC08, canakinumab, The metabolism of Nevirapine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Nevirapine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Nevirapine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Nevirapine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Nevirapine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Nevirapine.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Nevirapine is combined with Prazosin.]
[H02AB07, prednisone, The metabolism of Nevirapine can be increased when combined with Prednisone.]
[P01BA03, primaquine, The metabolism of Nevirapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Nevirapine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Nevirapine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Nevirapine.]
[C10AB05, fenofibrate, The metabolism of Nevirapine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Nevirapine.]
[G03DA04, progesterone, The metabolism of Nevirapine can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Nevirapine.]
[R06AD02, promethazine, The metabolism of Promethazine can be increased when combined with Nevirapine.]
[C01BC03, propafenone, The metabolism of Nevirapine can be decreased when combined with Propafenone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Nevirapine.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Nevirapine.]
[N02AC04, propoxyphene, The metabolism of Nevirapine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Nevirapine.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Nevirapine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Nevirapine.]
[R06AC01, pyrilamine, The metabolism of Nevirapine can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Nevirapine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Nevirapine.]
[P01BC01, quinine, The metabolism of Nevirapine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Nevirapine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The metabolism of Nevirapine can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Nevirapine can be increased when combined with Rifampicin.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Nevirapine.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Nevirapine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Nevirapine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Nevirapine.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Nevirapine.]
[H02CA04, levoketoconazole, The metabolism of Nevirapine can be decreased when combined with Levoketoconazole.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01GA01, streptomycin, Lamivudine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01CG01, sulbactam, Lamivudine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Sulfamethoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Lamivudine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R03CC03, terbutaline, Lamivudine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Lamivudine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S03AA02, tetracycline, Lamivudine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Lamivudine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Lamivudine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BE06, moxisylyte, Lamivudine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Lamivudine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01AB02, tinidazole, Lamivudine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Lamivudine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Lamivudine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Lamivudine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triamcinolone is combined with Lamivudine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Lamivudine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A03AA05, trimebutine, Lamivudine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, The serum concentration of Lamivudine can be increased when it is combined with Trimethoprim.]
[R03DX07, roflumilast, Lamivudine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Lamivudine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R02AA14, oxyquinoline, Lamivudine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Lamivudine can be increased when it is combined with Linagliptin.]
[S01AA28, vancomycin, Lamivudine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Lamivudine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Lamivudine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Lamivudine.]
[N06AX09, viloxazine, Lamivudine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Lamivudine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AA03, warfarin, Lamivudine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
