[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[H01AB01, thyrotropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin alfa is combined with Imipramine.]
[L01EX02, sorafenib, The serum concentration of Imipramine can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Imipramine.]
[M01CB04, aurothioglucose, Imipramine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Imipramine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Imipramine is combined with Fluindione.]
[C09AA09, fosinopril, Imipramine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Imipramine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Imipramine.]
[P01BX01, halofantrine, The metabolism of Imipramine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Imipramine can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Imipramine.]
[N05AH04, quetiapine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N06BX13, idebenone, Imipramine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, Imipramine may decrease the hypoglycemic activities of Insulin aspart.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Imipramine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Imipramine can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Imipramine.]
[G03DC01, allylestrenol, Imipramine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Imipramine.]
[L01XX03, altretamine, The risk or severity of orthostatic hypotension can be increased when Altretamine is combined with Imipramine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Imipramine.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Imipramine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Imipramine.]
[C08CA10, nilvadipine, The metabolism of Imipramine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Oxatomide.]
[C09AA04, perindopril, Imipramine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Imipramine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Imipramine can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Imipramine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Imipramine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[G04BD06, propiverine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Imipramine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[B05AA07, hetastarch, Imipramine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Imipramine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Imipramine.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Imipramine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, Imipramine may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Imipramine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Imipramine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Imipramine.]
[H01AC02, somatrem, The metabolism of Imipramine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Imipramine is combined with Sufentanil.]
[J01MB04, pipemidic acid, The metabolism of Imipramine can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Imipramine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Terlipressin.]
[R01AD07, tixocortol, Imipramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Imipramine.]
[L01CE01, topotecan, Imipramine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Indomethacin.]
[C02CA02, indoramin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[A11HA07, inositol, Imipramine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Imipramine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Imipramine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Imipramine is combined with Milnacipran.]
[A03AA30, piperidolate, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Imipramine.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BH01, sitagliptin, Imipramine may decrease the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Imipramine.]
[R06AE01, buclizine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Imipramine may decrease the hypoglycemic activities of Vildagliptin.]
