[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[N02BA03, choline salicylate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Choline salicylate.]
[N06BX18, vinpocetine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Vinpocetine.]
[M01AB08, etodolac, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Etodolac.]
[M02AA06, etofenamate, Etofenamate may increase the nephrotoxic activities of Tenofovir alafenamide.]
[B06AC06, berotralstat, The metabolism of Tenofovir alafenamide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chondroitin sulfate.]
[J05AJ04, cabotegravir, The excretion of Tenofovir alafenamide can be decreased when combined with Cabotegravir.]
[L04AD03, voclosporin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Umbralisib.]
[N03AX10, felbamate, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[C01CA19, fenoldopam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fenoldopam.]
[J01DD15, cefdinir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cefdinir.]
[R03BA03, flunisolide, The metabolism of Tenofovir alafenamide can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fluocinolone acetonide.]
[S01JA01, fluorescein, The excretion of Tenofovir alafenamide can be decreased when combined with Fluorescein.]
[N02BG07, flupirtine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flupirtine.]
[L01EK03, tivozanib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tivozanib.]
[A02BA01, cimetidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Gabapentin.]
[V08CA04, gadoteridol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gadoteridol.]
[J01MB06, cinoxacin, The excretion of Tenofovir alafenamide can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Tenofovir alafenamide.]
[S03AA07, ciprofloxacin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cisplatin.]
[N06AB04, citalopram, The metabolism of Tenofovir alafenamide can be decreased when combined with Citalopram.]
[L04AA48, belumosudil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The excretion of Tenofovir alafenamide can be decreased when combined with Fexinidazole.]
[L04AA59, avacopan, The metabolism of Tenofovir alafenamide can be decreased when combined with Avacopan.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N06AX25, St. John's wort extract, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Tenofovir alafenamide can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clomipramine.]
[N03AE01, clonazepam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Clonazepam.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Tenofovir alafenamide.]
[C01EB24, mavacamten, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Oseltamivir.]
[J02AC06, oteseconazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Oteseconazole.]
[N05AH02, clozapine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clozapine.]
[A10BK06, sotagliflozin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Arbekacin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[H01AC08, somatrogon, The metabolism of Tenofovir alafenamide can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Tenofovir alafenamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[R05DA04, codeine, The excretion of Tenofovir alafenamide can be decreased when combined with Codeine.]
[M04AC01, colchicine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Colchicine.]
[J01XB01, colistin, Colistin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DE02, cefpirome, Cefpirome may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A04AA03, tropisetron, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tropisetron.]
[C04AX28, ifenprodil, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Ifenprodil.]
[A10BX03, nateglinide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01FA15, telithromycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J05AB14, valganciclovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Valganciclovir.]
[C05BB03, invert sugar, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Invert sugar.]
[V08AB09, iodixanol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Iodixanol.]
[V08AB05, iopromide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Iopromide.]
[V08AB07, ioversol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ioversol.]
[V08AB12, ioxilan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ioxilan.]
[M01AH03, valdecoxib, Valdecoxib may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N02CC05, almotriptan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S01AD03, acyclovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Acyclovir.]
[N05BA10, ketazolam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EA01, imatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The excretion of Tenofovir alafenamide can be decreased when combined with Esomeprazole.]
[S01EE03, bimatoprost, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bimatoprost.]
[N03AX09, lamotrigine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Lamotrigine.]
[S01BA03, cortisone, The metabolism of Tenofovir alafenamide can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may increase the nephrotoxic activities of Tenofovir alafenamide.]
[M02AA31, loxoprofen, Loxoprofen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DC08, loracarbef, Loracarbef may increase the nephrotoxic activities of Tenofovir alafenamide.]
[C09AA03, lisinopril, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Magnesium carbonate.]
[C08CA11, manidipine, The metabolism of Tenofovir alafenamide can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Tenofovir alafenamide can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Tenofovir alafenamide can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Meropenem.]
[N05AD03, metylperon, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tenofovir disoproxil.]
