[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[C10AB04, gemfibrozil, The metabolism of Clozapine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Clozapine.]
[L01EA02, dasatinib, The risk or severity of neutropenia can be increased when Dasatinib is combined with Clozapine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Clozapine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Clozapine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Clozapine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Clozapine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Clozapine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Clozapine is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Clozapine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Clozapine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Clozapine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Clozapine.]
[H04AA01, glucagon, Clozapine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Clozapine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Clozapine.]
[C05AE01, nitroglycerin, Clozapine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Clozapine.]
[C02CA04, doxazosin, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of neutropenia can be increased when Sorafenib is combined with Clozapine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Clozapine.]
[M01CB04, aurothioglucose, Clozapine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Clozapine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Clozapine is combined with Fluindione.]
[C09AA09, fosinopril, Clozapine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Clozapine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Clozapine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Clozapine.]
[N05AH04, quetiapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N06BX13, idebenone, Clozapine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Clozapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01CE02, irinotecan, The risk or severity of neutropenia can be increased when Irinotecan is combined with Clozapine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M04AA01, allopurinol, Clozapine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Clozapine.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Clozapine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Clozapine.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Clozapine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Clozapine.]
[L01XX03, altretamine, The risk or severity of neutropenia can be increased when Altretamine is combined with Clozapine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Clozapine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Clozapine.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Clozapine is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Clozapine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Oxatomide.]
[C09AA04, perindopril, Clozapine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Clozapine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Clozapine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Clozapine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[G04BD06, propiverine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Clozapine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[B05AA07, hetastarch, Clozapine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Clozapine.]
[L01XX05, hydroxyurea, The risk or severity of neutropenia can be increased when Hydroxyurea is combined with Clozapine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Clozapine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Clozapine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Clozapine.]
[B05XA08, sodium acetate, Clozapine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, Clozapine may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of neutropenia can be increased when Idarubicin is combined with Clozapine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Clozapine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Clozapine.]
[H01AC02, somatrem, The metabolism of Clozapine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Clozapine is combined with Sufentanil.]
[N06AA02, imipramine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of neutropenia can be increased when Paclitaxel is combined with Clozapine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Terlipressin.]
[R01AD07, tixocortol, Clozapine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Clozapine.]
[L01CE01, topotecan, The risk or severity of neutropenia can be increased when Topotecan is combined with Clozapine.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Clozapine.]
