[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Levofloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Levofloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Levofloxacin.]
[S01JA01, fluorescein, The excretion of Levofloxacin can be decreased when combined with Fluorescein.]
[N02BG07, flupirtine, Levofloxacin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levofloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Levofloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Levofloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The serum concentration of Levofloxacin can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Levofloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Levofloxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Levofloxacin.]
[L01XA01, cisplatin, Levofloxacin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Levofloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Levofloxacin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Levofloxacin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Levofloxacin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the neuroexcitatory activities of Levofloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Levofloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Levofloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Levofloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Levofloxacin.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clomipramine.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Levofloxacin.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Levofloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Levofloxacin.]
[J01CF02, cloxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Levofloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Levofloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Levofloxacin.]
[J01GB12, arbekacin, Levofloxacin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Levofloxacin.]
[R05DA04, codeine, The excretion of Levofloxacin can be decreased when combined with Codeine.]
[J01CA18, hetacillin, The serum concentration of Levofloxacin can be increased when it is combined with Hetacillin.]
[M04AC01, colchicine, Levofloxacin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Levofloxacin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Levofloxacin.]
[A04AA03, tropisetron, Levofloxacin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Levofloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Levofloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Levofloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Levofloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Telithromycin is combined with Levofloxacin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Levofloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Levofloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Levofloxacin.]
[J05AB14, valganciclovir, Levofloxacin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Levofloxacin can be decreased when combined with Emtricitabine.]
[C05BB03, invert sugar, Levofloxacin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Levofloxacin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Levofloxacin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Levofloxacin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Levofloxacin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Levofloxacin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Levofloxacin.]
[N05BA10, ketazolam, Levofloxacin may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
