[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Quinidine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation, ventricular arrhythmias, torsade de pointes, and convulsion can be increased when Quinidine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Quinidine.]
[N05AH04, quetiapine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Quinidine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Quinidine.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Quinidine.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Quinidine.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Magnesium gluconate.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Quinidine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Quinidine.]
[J05AG01, nevirapine, The metabolism of Quinidine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Quinidine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Quinidine may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Quinidine.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Quinidine can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Quinidine.]
[S02BA01, hydrocortisone, The metabolism of Quinidine can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Quinidine can be increased when combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Potassium acetate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G04BD06, propiverine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Quinidine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Quinidine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Quinidine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B05CB02, sodium citrate, The therapeutic efficacy of Sodium citrate can be increased when used in combination with Quinidine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Quinidine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Quinidine.]
[L01AA06, ifosfamide, The metabolism of Quinidine can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Quinidine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[L01CD01, paclitaxel, The metabolism of Quinidine can be increased when combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Quinidine.]
[R01AD07, tixocortol, Tixocortol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Quinidine.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Quinidine.]
[C03BA11, indapamide, Indapamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02CA02, indoramin, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[A11HA07, inositol, Inositol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Quinidine can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Quinidine is combined with Piperidolate.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Cyclopentamine.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Quinidine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Quinidine.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be increased when it is combined with Quinidine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Quinidine.]
[C10AA06, cerivastatin, The metabolism of Quinidine can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Quinidine.]
[C07AA01, alprenolol, Alprenolol may increase the arrhythmogenic activities of Quinidine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Quinidine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Quinidine.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Quinidine.]
[N05AA07, chlorproethazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Quinidine.]
[C09AA16, imidapril, Quinidine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Quinidine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J04AC01, isoniazid, The metabolism of Quinidine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Inosine pranobex may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Quinidine.]
